fiche_id,source_file,page_key,source_image,document_type,client,maintenance_number,address,service_date,service_time,technician_name,sav_numbers,service_types,diffuser_controls,recharge_entries,issue,recommendation,satisfied_service,parfum_bien_diffuse,signature_text,searchable_text,raw_payload
AROMAIR_Rapport_Detaille_Confusion:section_10:section_10,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_10,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,4.4. Reconnaissance officielle de l’État tunisien,"La société AROMAIR a reçu un trophée de reconnaissance et de remerciement de la part de l’État tunisien pour sa contribution à la représentation de la Tunisie lors d’événements internationaux majeurs.
Cette reconnaissance a notamment été attribuée dans le cadre de la participation de l’entreprise à :
• Expo 2020 Dubaï
• Expo 2025 Osaka
Cette distinction reflète la confiance accordée par les autorités tunisiennes à l’entreprise pour représenter l’innovation et le savoir-faire industriel tunisien sur la scène internationale.",,,,"Question: 4.4. Reconnaissance officielle de l’État tunisien
Answer: La société AROMAIR a reçu un trophée de reconnaissance et de remerciement de la part de l’État tunisien pour sa contribution à la représentation de la Tunisie lors d’événements internationaux majeurs.
Cette reconnaissance a notamment été attribuée dans le cadre de la participation de l’entreprise à :
• Expo 2020 Dubaï
• Expo 2025 Osaka
Cette distinction reflète la confiance accordée par les autorités tunisiennes à l’entreprise pour représenter l’innovation et le savoir-faire industriel tunisien sur la scène internationale.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""4.4. Reconnaissance officielle de l’État tunisien"", ""answer"": ""La société AROMAIR a reçu un trophée de reconnaissance et de remerciement de la part de l’État tunisien pour sa contribution à la représentation de la Tunisie lors d’événements internationaux majeurs.\nCette reconnaissance a notamment été attribuée dans le cadre de la participation de l’entreprise à :\n• Expo 2020 Dubaï\n• Expo 2025 Osaka\nCette distinction reflète la confiance accordée par les autorités tunisiennes à l’entreprise pour représenter l’innovation et le savoir-faire industriel tunisien sur la scène internationale."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 10}"
AROMAIR_Rapport_Detaille_Confusion:section_11:section_11,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_11,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,4.5. Leadership entrepreneurial et programmes internationaux,"• Programme GIZ (coopération internationale allemande) : participation et rôle de présidence d’un groupe de 12 entreprises pendant 5 ans, dans le cadre d’un programme visant à accompagner et structurer les entreprises dans leur développement.
Cette implication démontre l’engagement de l’entreprise dans le développement de l’écosystème entrepreneurial, l’accompagnement d’autres entreprises et la coopération économique internationale.",,,,"Question: 4.5. Leadership entrepreneurial et programmes internationaux
Answer: • Programme GIZ (coopération internationale allemande) : participation et rôle de présidence d’un groupe de 12 entreprises pendant 5 ans, dans le cadre d’un programme visant à accompagner et structurer les entreprises dans leur développement.
Cette implication démontre l’engagement de l’entreprise dans le développement de l’écosystème entrepreneurial, l’accompagnement d’autres entreprises et la coopération économique internationale.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""4.5. Leadership entrepreneurial et programmes internationaux"", ""answer"": ""• Programme GIZ (coopération internationale allemande) : participation et rôle de présidence d’un groupe de 12 entreprises pendant 5 ans, dans le cadre d’un programme visant à accompagner et structurer les entreprises dans leur développement.\nCette implication démontre l’engagement de l’entreprise dans le développement de l’écosystème entrepreneurial, l’accompagnement d’autres entreprises et la coopération économique internationale."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 11}"
AROMAIR_Rapport_Detaille_Confusion:section_12:section_12,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_12,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,5. PRÉSENCE MÉDIATIQUE ET PARTICIPATION À DES ÉVÉNEMENTS INTERNATIONAUX,"Dans le cadre de son développement et de la promotion de ses solutions innovantes dans le domaine de la qualité de l’air et des technologies de diffusion olfactive, la société AROMAIR a participé à de nombreux événements internationaux et a bénéficié d’une couverture médiatique significative.",,,,"Question: 5. PRÉSENCE MÉDIATIQUE ET PARTICIPATION À DES ÉVÉNEMENTS INTERNATIONAUX
Answer: Dans le cadre de son développement et de la promotion de ses solutions innovantes dans le domaine de la qualité de l’air et des technologies de diffusion olfactive, la société AROMAIR a participé à de nombreux événements internationaux et a bénéficié d’une couverture médiatique significative.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""5. PRÉSENCE MÉDIATIQUE ET PARTICIPATION À DES ÉVÉNEMENTS INTERNATIONAUX"", ""answer"": ""Dans le cadre de son développement et de la promotion de ses solutions innovantes dans le domaine de la qualité de l’air et des technologies de diffusion olfactive, la société AROMAIR a participé à de nombreux événements internationaux et a bénéficié d’une couverture médiatique significative."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 12}"
AROMAIR_Rapport_Detaille_Confusion:section_13:section_13,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_13,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,5.1. Couverture médiatique internationale et nationale,"• Deux interventions télévisées aux États-Unis dans le cadre de programmes consacrés à l’innovation et aux technologies environnementales.
• Trois interventions télévisées sur TV5 Monde, chaîne internationale francophone diffusée dans plusieurs régions du monde.
• Plus de 25 interventions télé et radio, principalement sur la chaîne nationale tunisienne Wataniya 1, où les deux fondateurs d’AROMAIR ont intervenu en tant qu’experte en qualité de l’air intérieur, expert en mise en ambiance olfactive et aussi en tant que innovateurs.
Ces interventions médiatiques témoignent de la reconnaissance de l’expertise technique de l’entreprise dans le domaine de la qualité de l’air intérieur et des technologies environnementales.",,,,"Question: 5.1. Couverture médiatique internationale et nationale
Answer: • Deux interventions télévisées aux États-Unis dans le cadre de programmes consacrés à l’innovation et aux technologies environnementales.
• Trois interventions télévisées sur TV5 Monde, chaîne internationale francophone diffusée dans plusieurs régions du monde.
• Plus de 25 interventions télé et radio, principalement sur la chaîne nationale tunisienne Wataniya 1, où les deux fondateurs d’AROMAIR ont intervenu en tant qu’experte en qualité de l’air intérieur, expert en mise en ambiance olfactive et aussi en tant que innovateurs.
Ces interventions médiatiques témoignent de la reconnaissance de l’expertise technique de l’entreprise dans le domaine de la qualité de l’air intérieur et des technologies environnementales.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""5.1. Couverture médiatique internationale et nationale"", ""answer"": ""• Deux interventions télévisées aux États-Unis dans le cadre de programmes consacrés à l’innovation et aux technologies environnementales.\n• Trois interventions télévisées sur TV5 Monde, chaîne internationale francophone diffusée dans plusieurs régions du monde.\n• Plus de 25 interventions télé et radio, principalement sur la chaîne nationale tunisienne Wataniya 1, où les deux fondateurs d’AROMAIR ont intervenu en tant qu’experte en qualité de l’air intérieur, expert en mise en ambiance olfactive et aussi en tant que innovateurs.\nCes interventions médiatiques témoignent de la reconnaissance de l’expertise technique de l’entreprise dans le domaine de la qualité de l’air intérieur et des technologies environnementales."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 13}"
AROMAIR_Rapport_Detaille_Confusion:section_14:section_14,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_14,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,5.2. Participation à des salons et événements internationaux,"La société AROMAIR a également participé à plusieurs salons professionnels et événements internationaux majeurs, notamment :
• Maison & Objet – Paris 2024 (salon international du design et des innovations pour les espaces)
• Ambiente – Francfort (Allemagne)2024 , l’un des plus grands salons mondiaux des biens de consommation et du design
• IATF – Égypte (Intra-African Trade Fair) 2023
• Beautyworld – Arabie Saoudite 202
• Beautyworld – Dubaï 2023
• B to B Ghana (rencontres d’affaires internationales)
• Salon du Kram – Tunisie
• Pollutec 2021– Lyon, salon international des technologies environnementales
• CES – Consumer Electronics Show, Las Vegas 2020, l’un des plus grands salons mondiaux de l’innovation technologique
• SelectUSA Investment Summit 2022 – Washington, forum international d’investissement organisé par le gouvernement américain
Au-delà de la simple participation à des manifestations internationales, ces présences démontrent l’inscription durable de AROMAIR dans des réseaux professionnels, institutionnels et technologiques à forte visibilité, en Europe, aux États-Unis, au Moyen-Orient et en Afrique.",,,,"Question: 5.2. Participation à des salons et événements internationaux
Answer: La société AROMAIR a également participé à plusieurs salons professionnels et événements internationaux majeurs, notamment :
• Maison & Objet – Paris 2024 (salon international du design et des innovations pour les espaces)
• Ambiente – Francfort (Allemagne)2024 , l’un des plus grands salons mondiaux des biens de consommation et du design
• IATF – Égypte (Intra-African Trade Fair) 2023
• Beautyworld – Arabie Saoudite 202
• Beautyworld – Dubaï 2023
• B to B Ghana (rencontres d’affaires internationales)
• Salon du Kram – Tunisie
• Pollutec 2021– Lyon, salon international des technologies environnementales
• CES – Consumer Electronics Show, Las Vegas 2020, l’un des plus grands salons mondiaux de l’innovation technologique
• SelectUSA Investment Summit 2022 – Washington, forum international d’investissement organisé par le gouvernement américain
Au-delà de la simple participation à des manifestations internationales, ces présences démontrent l’inscription durable de AROMAIR dans des réseaux professionnels, institutionnels et technologiques à forte visibilité, en Europe, aux États-Unis, au Moyen-Orient et en Afrique.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""5.2. Participation à des salons et événements internationaux"", ""answer"": ""La société AROMAIR a également participé à plusieurs salons professionnels et événements internationaux majeurs, notamment :\n• Maison & Objet – Paris 2024 (salon international du design et des innovations pour les espaces)\n• Ambiente – Francfort (Allemagne)2024 , l’un des plus grands salons mondiaux des biens de consommation et du design\n• IATF – Égypte (Intra-African Trade Fair) 2023\n• Beautyworld – Arabie Saoudite 202\n• Beautyworld – Dubaï 2023\n• B to B Ghana (rencontres d’affaires internationales)\n• Salon du Kram – Tunisie\n• Pollutec 2021– Lyon, salon international des technologies environnementales\n• CES – Consumer Electronics Show, Las Vegas 2020, l’un des plus grands salons mondiaux de l’innovation technologique\n• SelectUSA Investment Summit 2022 – Washington, forum international d’investissement organisé par le gouvernement américain\nAu-delà de la simple participation à des manifestations internationales, ces présences démontrent l’inscription durable de AROMAIR dans des réseaux professionnels, institutionnels et technologiques à forte visibilité, en Europe, aux États-Unis, au Moyen-Orient et en Afrique."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 14}"
AROMAIR_Rapport_Detaille_Confusion:section_15:section_15,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_15,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,5.3. Portée de cette visibilité,"La présence médiatique et l’activité événementielle internationale d’AROMAIR renforcent sa notoriété, sa crédibilité et sa visibilité. Elles établissent que l’entreprise n’est pas une structure opportuniste ou marginale, mais un acteur identifié et exposé publiquement, intervenant dans son domaine comme entreprise experte et reconnue.",,,,"Question: 5.3. Portée de cette visibilité
Answer: La présence médiatique et l’activité événementielle internationale d’AROMAIR renforcent sa notoriété, sa crédibilité et sa visibilité. Elles établissent que l’entreprise n’est pas une structure opportuniste ou marginale, mais un acteur identifié et exposé publiquement, intervenant dans son domaine comme entreprise experte et reconnue.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""5.3. Portée de cette visibilité"", ""answer"": ""La présence médiatique et l’activité événementielle internationale d’AROMAIR renforcent sa notoriété, sa crédibilité et sa visibilité. Elles établissent que l’entreprise n’est pas une structure opportuniste ou marginale, mais un acteur identifié et exposé publiquement, intervenant dans son domaine comme entreprise experte et reconnue."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 15}"
AROMAIR_Rapport_Detaille_Confusion:section_1:section_1,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_1,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,Introduction,Rapport Effectué par ILYES CHAKROUN/ Gérant AROMAIR,,,,"Question: Introduction
Answer: Rapport Effectué par ILYES CHAKROUN/ Gérant AROMAIR
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""Introduction"", ""answer"": ""Rapport Effectué par ILYES CHAKROUN/ Gérant AROMAIR"", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 1}"
AROMAIR_Rapport_Detaille_Confusion:section_2:section_2,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_2,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,POSITIONNEMENT ET DIFFÉRENCE FONDAMENTALE,"Au regard des éléments évoqués, la distinction essentielle entre les deux sociétés réside dans la nature même de leurs activités et dans leur positionnement sur le marché.",,,,"Question: POSITIONNEMENT ET DIFFÉRENCE FONDAMENTALE
Answer: Au regard des éléments évoqués, la distinction essentielle entre les deux sociétés réside dans la nature même de leurs activités et dans leur positionnement sur le marché.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""POSITIONNEMENT ET DIFFÉRENCE FONDAMENTALE"", ""answer"": ""Au regard des éléments évoqués, la distinction essentielle entre les deux sociétés réside dans la nature même de leurs activités et dans leur positionnement sur le marché."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 2}"
AROMAIR_Rapport_Detaille_Confusion:section_3:section_3,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_3,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,2.1. AROMAIR,"• Société créée le 6 novembre 2013, disposant d’une antériorité significative.
Inscrrite comme Fabriquant de diffuseur de parfum avec un agréement octoryé depuis le ministre de l’industrie
• Acteur à dominante industrielle et technologique.
• Intervient comme concepteur, développeur et fabricant de solutions liées à la diffusion olfactive, à la qualité de l’air et aux technologies associées.
• Dispose d’un savoir-faire accumulé depuis plus de dix ans.
• Bénéficie de distinctions, de programmes internationaux, de visibilité médiatique et d’une reconnaissance institutionnelle.
• Sa crédibilité repose sur des réalisations concrètes, des trophées, des participations officielles, un leadership entrepreneurial et une activité réelle de développement.",,,,"Question: 2.1. AROMAIR
Answer: • Société créée le 6 novembre 2013, disposant d’une antériorité significative.
Inscrrite comme Fabriquant de diffuseur de parfum avec un agréement octoryé depuis le ministre de l’industrie
• Acteur à dominante industrielle et technologique.
• Intervient comme concepteur, développeur et fabricant de solutions liées à la diffusion olfactive, à la qualité de l’air et aux technologies associées.
• Dispose d’un savoir-faire accumulé depuis plus de dix ans.
• Bénéficie de distinctions, de programmes internationaux, de visibilité médiatique et d’une reconnaissance institutionnelle.
• Sa crédibilité repose sur des réalisations concrètes, des trophées, des participations officielles, un leadership entrepreneurial et une activité réelle de développement.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""2.1. AROMAIR"", ""answer"": ""• Société créée le 6 novembre 2013, disposant d’une antériorité significative.\nInscrrite comme Fabriquant de diffuseur de parfum avec un agréement octoryé depuis le ministre de l’industrie\n• Acteur à dominante industrielle et technologique.\n• Intervient comme concepteur, développeur et fabricant de solutions liées à la diffusion olfactive, à la qualité de l’air et aux technologies associées.\n• Dispose d’un savoir-faire accumulé depuis plus de dix ans.\n• Bénéficie de distinctions, de programmes internationaux, de visibilité médiatique et d’une reconnaissance institutionnelle.\n• Sa crédibilité repose sur des réalisations concrètes, des trophées, des participations officielles, un leadership entrepreneurial et une activité réelle de développement."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 3}"
AROMAIR_Rapport_Detaille_Confusion:section_4:section_4,data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx,section_4,,knowledge_base_entry,knowledge:docx_report,,,,,,,,,,2.2. AROMA SCENT,"• Société créée en 2019.
• Positionnement essentiellement commercial selon les éléments communiqués.
• Spécialisée dans le commerce de produits cosmétiques et de parfum.",,,,"Question: 2.2. AROMA SCENT
Answer: • Société créée en 2019.
• Positionnement essentiellement commercial selon les éléments communiqués.
• Spécialisée dans le commerce de produits cosmétiques et de parfum.
Category: docx_report
Source: data\raw_json\AROMAIR_Rapport_Detaille_Confusion.docx","{""question"": ""2.2. AROMA SCENT"", ""answer"": ""• Société créée en 2019.\n• Positionnement essentiellement commercial selon les éléments communiqués.\n• Spécialisée dans le commerce de produits cosmétiques et de parfum."", ""category"": ""docx_report"", ""source_format"": ""docx"", ""section_index"": 4}"
